countryiso3,date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice
RWA,2020-01-15,Eastern Province,Kirehe,Munini,2365,-2.31,30.82,cereals and tubers,Rice (imported),64,KG,actual,Retail,RWF,900.0,0.96
RWA,2020-01-15,Eastern Province,Kirehe,Munini,2365,-2.31,30.82,cereals and tubers,Rice (local),71,KG,actual,Retail,RWF,850.0,0.91
RWA,2020-01-15,Eastern Province,Kirehe,Munini,2365,-2.31,30.82,"meat, fish and eggs",Fish (dry),171,KG,actual,Retail,RWF,2000.0,2.13
RWA,2020-01-15,Eastern Province,Kirehe,Munini,2365,-2.31,30.82,miscellaneous food,Salt,185,KG,actual,Retail,RWF,383.33,0.41
RWA,2020-01-15,Eastern Province,Kirehe,Munini,2365,-2.31,30.82,miscellaneous food,Sugar,97,KG,actual,Retail,RWF,900.0,0.96
RWA,2020-01-15,Eastern Province,Kirehe,Munini,2365,-2.31,30.82,oil and fats,Oil,137,L,actual,Retail,RWF,1666.67,1.78
RWA,2020-01-15,Eastern Province,Kirehe,Munini,2365,-2.31,30.82,pulses and nuts,Beans (dry),262,KG,actual,Retail,RWF,370.0,0.39
RWA,2020-01-15,Eastern Province,Kirehe,Nganda,2362,-2.32,30.59,cereals and tubers,Maize flour,76,KG,actual,Retail,RWF,680.0,0.73
RWA,2020-01-15,Eastern Province,Kirehe,Nganda,2362,-2.32,30.59,cereals and tubers,Potatoes (Irish),148,KG,actual,Retail,RWF,350.0,0.37
RWA,2020-01-15,Eastern Province,Kirehe,Nganda,2362,-2.32,30.59,cereals and tubers,Rice (local),71,KG,actual,Retail,RWF,833.33,0.89
RWA,2020-01-15,Eastern Province,Kirehe,Nganda,2362,-2.32,30.59,miscellaneous food,Salt,185,KG,actual,Retail,RWF,400.0,0.43
RWA,2020-01-15,Eastern Province,Kirehe,Nganda,2362,-2.32,30.59,miscellaneous food,Sugar,97,KG,actual,Retail,RWF,900.0,0.96
RWA,2020-01-15,Eastern Province,Kirehe,Nganda,2362,-2.32,30.59,oil and fats,Oil,137,L,actual,Retail,RWF,1533.33,1.63
RWA,2020-01-15,Eastern Province,Kirehe,Nyakarambi,1095,-2.27,30.68,cereals and tubers,Cassava,68,KG,actual,Retail,RWF,250.0,0.27
RWA,2020-01-15,Eastern Province,Kirehe,Nyakarambi,1095,-2.27,30.68,cereals and tubers,Cassava flour,74,KG,actual,Retail,RWF,400.0,0.43
RWA,2020-01-15,Eastern Province,Kirehe,Nyakarambi,1095,-2.27,30.68,cereals and tubers,Maize,51,KG,actual,Retail,RWF,350.0,0.37
RWA,2020-01-15,Eastern Province,Kirehe,Nyakarambi,1095,-2.27,30.68,cereals and tubers,Maize flour,76,KG,actual,Retail,RWF,725.0,0.77
RWA,2020-01-15,Eastern Province,Kirehe,Nyakarambi,1095,-2.27,30.68,cereals and tubers,Potatoes,83,KG,actual,Retail,RWF,300.0,0.32
RWA,2020-01-15,Eastern Province,Kirehe,Nyakarambi,1095,-2.27,30.68,cereals and tubers,Potatoes (Irish),148,KG,actual,Retail,RWF,300.0,0.32
RWA,2020-01-15,Eastern Province,Kirehe,Nyakarambi,1095,-2.27,30.68,cereals and tubers,Rice (imported),64,KG,actual,Retail,RWF,1000.0,1.07
RWA,2020-01-15,Eastern Province,Kirehe,Nyakarambi,1095,-2.27,30.68,cereals and tubers,Rice (local),71,KG,actual,Retail,RWF,800.0,0.85
RWA,2020-01-15,Eastern Province,Kirehe,Nyakarambi,1095,-2.27,30.68,cereals and tubers,Sorghum,65,KG,actual,Retail,RWF,500.0,0.53
RWA,2020-01-15,Eastern Province,Kirehe,Nyakarambi,1095,-2.27,30.68,"meat, fish and eggs",Fish (dry),171,KG,actual,Retail,RWF,2000.0,2.13
RWA,2020-01-15,Eastern Province,Kirehe,Nyakarambi,1095,-2.27,30.68,"meat, fish and eggs",Meat (beef),141,KG,actual,Retail,RWF,2500.0,2.67
RWA,2020-01-15,Eastern Province,Kirehe,Nyakarambi,1095,-2.27,30.68,miscellaneous food,Salt,185,KG,actual,Retail,RWF,400.0,0.43
RWA,2020-01-15,Eastern Province,Kirehe,Nyakarambi,1095,-2.27,30.68,miscellaneous food,Sugar,97,KG,actual,Retail,RWF,950.0,1.01
RWA,2020-01-15,Eastern Province,Kirehe,Nyakarambi,1095,-2.27,30.68,oil and fats,Oil,137,L,actual,Retail,RWF,1633.33,1.74
RWA,2020-01-15,Eastern Province,Kirehe,Nyakarambi,1095,-2.27,30.68,oil and fats,Oil (palm),62,L,actual,Retail,RWF,2000.0,2.13
RWA,2020-01-15,Eastern Province,Kirehe,Nyakarambi,1095,-2.27,30.68,pulses and nuts,Beans (dry),262,KG,actual,Retail,RWF,380.0,0.41
RWA,2020-01-15,Eastern Province,Kirehe,Nyakarambi,1095,-2.27,30.68,vegetables and fruits,Bananas,254,KG,actual,Retail,RWF,250.0,0.27
RWA,2020-01-15,Eastern Province,Kirehe,Nyakarambi,1095,-2.27,30.68,vegetables and fruits,Cabbage,181,KG,actual,Retail,RWF,100.0,0.11
RWA,2020-01-15,Eastern Province,Kirehe,Nyakarambi,1095,-2.27,30.68,vegetables and fruits,Cassava leaves,455,KG,actual,Retail,RWF,200.0,0.21
RWA,2020-01-15,Eastern Province,Kirehe,Nyamugari,2360,-2.28,30.77,cereals and tubers,Cassava,68,KG,actual,Retail,RWF,200.0,0.21
RWA,2020-01-15,Eastern Province,Kirehe,Nyamugari,2360,-2.28,30.77,cereals and tubers,Cassava flour,74,KG,actual,Retail,RWF,400.0,0.43
RWA,2020-01-15,Eastern Province,Kirehe,Nyamugari,2360,-2.28,30.77,cereals and tubers,Maize,51,KG,actual,Retail,RWF,380.0,0.41
RWA,2020-01-15,Eastern Province,Kirehe,Nyamugari,2360,-2.28,30.77,cereals and tubers,Maize flour,76,KG,actual,Retail,RWF,800.0,0.85
RWA,2020-01-15,Eastern Province,Kirehe,Nyamugari,2360,-2.28,30.77,cereals and tubers,Potatoes,83,KG,actual,Retail,RWF,250.0,0.27
RWA,2020-01-15,Eastern Province,Kirehe,Nyamugari,2360,-2.28,30.77,cereals and tubers,Potatoes (Irish),148,KG,actual,Retail,RWF,250.0,0.27
RWA,2020-01-15,Eastern Province,Kirehe,Nyamugari,2360,-2.28,30.77,cereals and tubers,Rice (local),71,KG,actual,Retail,RWF,800.0,0.85
RWA,2020-01-15,Eastern Province,Kirehe,Nyamugari,2360,-2.28,30.77,cereals and tubers,"Rice (long grain, high quality, local)",379,KG,actual,Retail,RWF,900.0,0.96
RWA,2020-01-15,Eastern Province,Kirehe,Nyamugari,2360,-2.28,30.77,cereals and tubers,Sorghum,65,KG,actual,Retail,RWF,465.0,0.5
