country,date,province,district,market_name,lat,lon,food_category,commodity_name,unit,price_flag,price_type,currency,price_rwf,price_usd,year,month,quarter,day_of_week,commodity_group
RWA,2020-01-15,Eastern Province,Kirehe,Kabeza,-2.31,30.83,pulses and nuts,Beans (dry),KG,actual,Retail,RWF,420.0,0.45,2020,1,1,2,Beans (dry)
RWA,2020-01-15,Eastern Province,Kirehe,Kabeza,-2.31,30.83,vegetables and fruits,Bananas,KG,actual,Retail,RWF,200.0,0.21,2020,1,1,2,Bananas
RWA,2020-01-15,Eastern Province,Kirehe,Kabeza,-2.31,30.83,vegetables and fruits,Cabbage,KG,actual,Retail,RWF,100.0,0.11,2020,1,1,2,Cabbage
RWA,2020-01-15,Eastern Province,Kirehe,Kigufi,-2.24,30.8,cereals and tubers,Cassava flour,KG,actual,Retail,RWF,425.0,0.45,2020,1,1,2,Cassava flour
RWA,2020-01-15,Eastern Province,Kirehe,Kigufi,-2.24,30.8,cereals and tubers,Maize,KG,actual,Retail,RWF,385.0,0.41,2020,1,1,2,Maize
RWA,2020-01-15,Eastern Province,Kirehe,Kigufi,-2.24,30.8,cereals and tubers,Maize flour,KG,actual,Retail,RWF,850.0,0.91,2020,1,1,2,Maize flour
RWA,2020-01-15,Eastern Province,Kirehe,Kigufi,-2.24,30.8,cereals and tubers,Rice (imported),KG,actual,Retail,RWF,950.0,1.01,2020,1,1,2,Rice
RWA,2020-01-15,Eastern Province,Kirehe,Kigufi,-2.24,30.8,"meat, fish and eggs",Fish (dry),KG,actual,Retail,RWF,1800.0,1.92,2020,1,1,2,Fish (dry)
RWA,2020-01-15,Eastern Province,Kirehe,Kigufi,-2.24,30.8,miscellaneous food,Salt,KG,actual,Retail,RWF,400.0,0.43,2020,1,1,2,Salt
RWA,2020-01-15,Eastern Province,Kirehe,Kigufi,-2.24,30.8,miscellaneous food,Sugar,KG,actual,Retail,RWF,900.0,0.96,2020,1,1,2,Sugar
RWA,2020-01-15,Eastern Province,Kirehe,Kigufi,-2.24,30.8,pulses and nuts,Beans (dry),KG,actual,Retail,RWF,400.0,0.43,2020,1,1,2,Beans (dry)
RWA,2020-01-15,Eastern Province,Kirehe,Kiyanzi,-2.35,30.76,cereals and tubers,Maize flour,KG,actual,Retail,RWF,800.0,0.85,2020,1,1,2,Maize flour
RWA,2020-01-15,Eastern Province,Kirehe,Kiyanzi,-2.35,30.76,miscellaneous food,Salt,KG,actual,Retail,RWF,350.0,0.37,2020,1,1,2,Salt
RWA,2020-01-15,Eastern Province,Kirehe,Kiyanzi,-2.35,30.76,miscellaneous food,Sugar,KG,actual,Retail,RWF,850.0,0.91,2020,1,1,2,Sugar
RWA,2020-01-15,Eastern Province,Kirehe,Kiyanzi,-2.35,30.76,pulses and nuts,Beans (dry),KG,actual,Retail,RWF,425.0,0.45,2020,1,1,2,Beans (dry)
RWA,2020-01-15,Eastern Province,Kirehe,Mahama (Camp),-2.31,30.84,cereals and tubers,Cassava,KG,actual,Retail,RWF,175.0,0.19,2020,1,1,2,Cassava
RWA,2020-01-15,Eastern Province,Kirehe,Mahama (Camp),-2.31,30.84,cereals and tubers,Cassava flour,KG,actual,Retail,RWF,393.33,0.42,2020,1,1,2,Cassava flour
RWA,2020-01-15,Eastern Province,Kirehe,Mahama (Camp),-2.31,30.84,cereals and tubers,Maize,KG,actual,Retail,RWF,450.0,0.48,2020,1,1,2,Maize
RWA,2020-01-15,Eastern Province,Kirehe,Mahama (Camp),-2.31,30.84,cereals and tubers,Maize flour,KG,actual,Retail,RWF,728.33,0.78,2020,1,1,2,Maize flour
RWA,2020-01-15,Eastern Province,Kirehe,Mahama (Camp),-2.31,30.84,cereals and tubers,Potatoes (Irish),KG,actual,Retail,RWF,266.67,0.28,2020,1,1,2,Potatoes
RWA,2020-01-15,Eastern Province,Kirehe,Mahama (Camp),-2.31,30.84,cereals and tubers,Rice (imported),KG,actual,Retail,RWF,900.0,0.96,2020,1,1,2,Rice
RWA,2020-01-15,Eastern Province,Kirehe,Mahama (Camp),-2.31,30.84,cereals and tubers,Rice (local),KG,actual,Retail,RWF,826.0,0.88,2020,1,1,2,Rice
RWA,2020-01-15,Eastern Province,Kirehe,Mahama (Camp),-2.31,30.84,cereals and tubers,"Rice (long grain, high quality, local)",KG,actual,Retail,RWF,925.0,0.99,2020,1,1,2,Rice
RWA,2020-01-15,Eastern Province,Kirehe,Mahama (Camp),-2.31,30.84,"meat, fish and eggs",Fish (dry),KG,actual,Retail,RWF,1800.0,1.92,2020,1,1,2,Fish (dry)
RWA,2020-01-15,Eastern Province,Kirehe,Mahama (Camp),-2.31,30.84,"meat, fish and eggs",Meat (beef),KG,actual,Retail,RWF,2500.0,2.67,2020,1,1,2,Meat (beef)
RWA,2020-01-15,Eastern Province,Kirehe,Mahama (Camp),-2.31,30.84,miscellaneous food,Salt,KG,actual,Retail,RWF,370.0,0.39,2020,1,1,2,Salt
RWA,2020-01-15,Eastern Province,Kirehe,Mahama (Camp),-2.31,30.84,miscellaneous food,Sugar,KG,actual,Retail,RWF,940.0,1.0,2020,1,1,2,Sugar
RWA,2020-01-15,Eastern Province,Kirehe,Mahama (Camp),-2.31,30.84,pulses and nuts,Beans (dry),KG,actual,Retail,RWF,450.0,0.48,2020,1,1,2,Beans (dry)
RWA,2020-01-15,Eastern Province,Kirehe,Mahama (Camp),-2.31,30.84,vegetables and fruits,Bananas,KG,actual,Retail,RWF,275.0,0.29,2020,1,1,2,Bananas
RWA,2020-01-15,Eastern Province,Kirehe,Mahama (Camp),-2.31,30.84,vegetables and fruits,Cabbage,KG,actual,Retail,RWF,100.0,0.11,2020,1,1,2,Cabbage
RWA,2020-01-15,Eastern Province,Kirehe,Munini,-2.31,30.82,cereals and tubers,Cassava flour,KG,actual,Retail,RWF,325.0,0.35,2020,1,1,2,Cassava flour
RWA,2020-01-15,Eastern Province,Kirehe,Munini,-2.31,30.82,cereals and tubers,Maize flour,KG,actual,Retail,RWF,775.0,0.83,2020,1,1,2,Maize flour
RWA,2020-01-15,Eastern Province,Kirehe,Munini,-2.31,30.82,cereals and tubers,Potatoes (Irish),KG,actual,Retail,RWF,250.0,0.27,2020,1,1,2,Potatoes
RWA,2020-01-15,Eastern Province,Kirehe,Munini,-2.31,30.82,cereals and tubers,Rice (imported),KG,actual,Retail,RWF,900.0,0.96,2020,1,1,2,Rice
RWA,2020-01-15,Eastern Province,Kirehe,Munini,-2.31,30.82,cereals and tubers,Rice (local),KG,actual,Retail,RWF,850.0,0.91,2020,1,1,2,Rice
RWA,2020-01-15,Eastern Province,Kirehe,Munini,-2.31,30.82,"meat, fish and eggs",Fish (dry),KG,actual,Retail,RWF,2000.0,2.13,2020,1,1,2,Fish (dry)
RWA,2020-01-15,Eastern Province,Kirehe,Munini,-2.31,30.82,miscellaneous food,Salt,KG,actual,Retail,RWF,383.33,0.41,2020,1,1,2,Salt
RWA,2020-01-15,Eastern Province,Kirehe,Munini,-2.31,30.82,miscellaneous food,Sugar,KG,actual,Retail,RWF,900.0,0.96,2020,1,1,2,Sugar
RWA,2020-01-15,Eastern Province,Kirehe,Munini,-2.31,30.82,pulses and nuts,Beans (dry),KG,actual,Retail,RWF,370.0,0.39,2020,1,1,2,Beans (dry)
RWA,2020-01-15,Eastern Province,Kirehe,Nganda,-2.32,30.59,cereals and tubers,Maize flour,KG,actual,Retail,RWF,680.0,0.73,2020,1,1,2,Maize flour
RWA,2020-01-15,Eastern Province,Kirehe,Nganda,-2.32,30.59,cereals and tubers,Potatoes (Irish),KG,actual,Retail,RWF,350.0,0.37,2020,1,1,2,Potatoes
RWA,2020-01-15,Eastern Province,Kirehe,Nganda,-2.32,30.59,cereals and tubers,Rice (local),KG,actual,Retail,RWF,833.33,0.89,2020,1,1,2,Rice
RWA,2020-01-15,Eastern Province,Kirehe,Nganda,-2.32,30.59,miscellaneous food,Salt,KG,actual,Retail,RWF,400.0,0.43,2020,1,1,2,Salt
RWA,2020-01-15,Eastern Province,Kirehe,Nganda,-2.32,30.59,miscellaneous food,Sugar,KG,actual,Retail,RWF,900.0,0.96,2020,1,1,2,Sugar
RWA,2020-01-15,Eastern Province,Kirehe,Nyakarambi,-2.27,30.68,cereals and tubers,Cassava,KG,actual,Retail,RWF,250.0,0.27,2020,1,1,2,Cassava
RWA,2020-01-15,Eastern Province,Kirehe,Nyakarambi,-2.27,30.68,cereals and tubers,Cassava flour,KG,actual,Retail,RWF,400.0,0.43,2020,1,1,2,Cassava flour
RWA,2020-01-15,Eastern Province,Kirehe,Nyakarambi,-2.27,30.68,cereals and tubers,Maize,KG,actual,Retail,RWF,350.0,0.37,2020,1,1,2,Maize
RWA,2020-01-15,Eastern Province,Kirehe,Nyakarambi,-2.27,30.68,cereals and tubers,Maize flour,KG,actual,Retail,RWF,725.0,0.77,2020,1,1,2,Maize flour
RWA,2020-01-15,Eastern Province,Kirehe,Nyakarambi,-2.27,30.68,cereals and tubers,Potatoes,KG,actual,Retail,RWF,300.0,0.32,2020,1,1,2,Potatoes
RWA,2020-01-15,Eastern Province,Kirehe,Nyakarambi,-2.27,30.68,cereals and tubers,Potatoes (Irish),KG,actual,Retail,RWF,300.0,0.32,2020,1,1,2,Potatoes
RWA,2020-01-15,Eastern Province,Kirehe,Nyakarambi,-2.27,30.68,cereals and tubers,Rice (imported),KG,actual,Retail,RWF,1000.0,1.07,2020,1,1,2,Rice
RWA,2020-01-15,Eastern Province,Kirehe,Nyakarambi,-2.27,30.68,cereals and tubers,Rice (local),KG,actual,Retail,RWF,800.0,0.85,2020,1,1,2,Rice
RWA,2020-01-15,Eastern Province,Kirehe,Nyakarambi,-2.27,30.68,cereals and tubers,Sorghum,KG,actual,Retail,RWF,500.0,0.53,2020,1,1,2,Sorghum
RWA,2020-01-15,Eastern Province,Kirehe,Nyakarambi,-2.27,30.68,"meat, fish and eggs",Fish (dry),KG,actual,Retail,RWF,2000.0,2.13,2020,1,1,2,Fish (dry)
RWA,2020-01-15,Eastern Province,Kirehe,Nyakarambi,-2.27,30.68,"meat, fish and eggs",Meat (beef),KG,actual,Retail,RWF,2500.0,2.67,2020,1,1,2,Meat (beef)
RWA,2020-01-15,Eastern Province,Kirehe,Nyakarambi,-2.27,30.68,miscellaneous food,Salt,KG,actual,Retail,RWF,400.0,0.43,2020,1,1,2,Salt
RWA,2020-01-15,Eastern Province,Kirehe,Nyakarambi,-2.27,30.68,miscellaneous food,Sugar,KG,actual,Retail,RWF,950.0,1.01,2020,1,1,2,Sugar
RWA,2020-01-15,Eastern Province,Kirehe,Nyakarambi,-2.27,30.68,pulses and nuts,Beans (dry),KG,actual,Retail,RWF,380.0,0.41,2020,1,1,2,Beans (dry)
RWA,2020-01-15,Eastern Province,Kirehe,Nyakarambi,-2.27,30.68,vegetables and fruits,Bananas,KG,actual,Retail,RWF,250.0,0.27,2020,1,1,2,Bananas
RWA,2020-01-15,Eastern Province,Kirehe,Nyakarambi,-2.27,30.68,vegetables and fruits,Cabbage,KG,actual,Retail,RWF,100.0,0.11,2020,1,1,2,Cabbage
RWA,2020-01-15,Eastern Province,Kirehe,Nyakarambi,-2.27,30.68,vegetables and fruits,Cassava leaves,KG,actual,Retail,RWF,200.0,0.21,2020,1,1,2,Cassava
RWA,2020-01-15,Eastern Province,Kirehe,Nyamugari,-2.28,30.77,cereals and tubers,Cassava,KG,actual,Retail,RWF,200.0,0.21,2020,1,1,2,Cassava
RWA,2020-01-15,Eastern Province,Kirehe,Nyamugari,-2.28,30.77,cereals and tubers,Cassava flour,KG,actual,Retail,RWF,400.0,0.43,2020,1,1,2,Cassava flour
RWA,2020-01-15,Eastern Province,Kirehe,Nyamugari,-2.28,30.77,cereals and tubers,Maize,KG,actual,Retail,RWF,380.0,0.41,2020,1,1,2,Maize
RWA,2020-01-15,Eastern Province,Kirehe,Nyamugari,-2.28,30.77,cereals and tubers,Maize flour,KG,actual,Retail,RWF,800.0,0.85,2020,1,1,2,Maize flour
RWA,2020-01-15,Eastern Province,Kirehe,Nyamugari,-2.28,30.77,cereals and tubers,Potatoes,KG,actual,Retail,RWF,250.0,0.27,2020,1,1,2,Potatoes
RWA,2020-01-15,Eastern Province,Kirehe,Nyamugari,-2.28,30.77,cereals and tubers,Potatoes (Irish),KG,actual,Retail,RWF,250.0,0.27,2020,1,1,2,Potatoes
RWA,2020-01-15,Eastern Province,Kirehe,Nyamugari,-2.28,30.77,cereals and tubers,Rice (local),KG,actual,Retail,RWF,800.0,0.85,2020,1,1,2,Rice
RWA,2020-01-15,Eastern Province,Kirehe,Nyamugari,-2.28,30.77,cereals and tubers,"Rice (long grain, high quality, local)",KG,actual,Retail,RWF,900.0,0.96,2020,1,1,2,Rice
RWA,2020-01-15,Eastern Province,Kirehe,Nyamugari,-2.28,30.77,cereals and tubers,Sorghum,KG,actual,Retail,RWF,465.0,0.5,2020,1,1,2,Sorghum
RWA,2020-01-15,Eastern Province,Kirehe,Nyamugari,-2.28,30.77,"meat, fish and eggs",Fish (dry),KG,actual,Retail,RWF,1850.0,1.97,2020,1,1,2,Fish (dry)
RWA,2020-01-15,Eastern Province,Kirehe,Nyamugari,-2.28,30.77,"meat, fish and eggs",Meat (beef),KG,actual,Retail,RWF,2500.0,2.67,2020,1,1,2,Meat (beef)
RWA,2020-01-15,Eastern Province,Kirehe,Nyamugari,-2.28,30.77,miscellaneous food,Salt,KG,actual,Retail,RWF,400.0,0.43,2020,1,1,2,Salt
RWA,2020-01-15,Eastern Province,Kirehe,Nyamugari,-2.28,30.77,pulses and nuts,Beans (dry),KG,actual,Retail,RWF,370.0,0.39,2020,1,1,2,Beans (dry)
RWA,2020-01-15,Eastern Province,Kirehe,Nyamugari,-2.28,30.77,vegetables and fruits,Bananas,KG,actual,Retail,RWF,250.0,0.27,2020,1,1,2,Bananas
RWA,2020-01-15,Eastern Province,Kirehe,Nyamugari,-2.28,30.77,vegetables and fruits,Cabbage,KG,actual,Retail,RWF,100.0,0.11,2020,1,1,2,Cabbage
RWA,2020-01-15,Eastern Province,Kirehe,Rushonga,-2.19,30.83,cereals and tubers,Cassava flour,KG,actual,Retail,RWF,375.0,0.4,2020,1,1,2,Cassava flour
